,國文,英文,數學,社會,自然
0,15,15,10,10,9
1,6,15,10,12,11
2,14,7,7,15,9
3,12,14,9,7,7
4,11,7,14,11,12
5,7,8,15,9,11
6,10,10,8,13,8
7,15,15,8,9,10
8,12,12,10,6,9
9,9,7,13,8,15
10,15,8,9,14,7
11,10,10,11,14,8
12,14,10,13,6,9
13,13,14,6,11,11
14,11,12,10,6,14
15,14,11,8,13,14
16,11,10,14,13,9
17,8,13,12,14,6
18,12,9,11,7,11
19,14,11,10,11,15
20,11,8,15,8,12
21,15,6,6,8,10
22,10,10,14,12,7
23,12,8,14,10,7
24,6,6,10,15,13
25,10,12,6,14,7
26,9,6,11,13,6
27,9,15,7,9,10
28,8,9,6,11,6
29,13,11,9,6,13
30,7,14,12,7,7
31,8,12,14,14,14
32,14,6,14,6,7
33,14,11,14,7,8
34,14,13,10,15,12
35,12,9,8,6,15
36,6,11,12,13,11
37,14,14,8,8,8
38,15,12,8,13,14
39,12,15,8,15,6
40,10,8,13,7,11
41,6,8,13,11,11
42,7,12,6,7,12
43,15,15,15,12,6
44,6,11,11,14,8
45,14,6,7,9,12
46,9,8,8,12,9
47,14,9,6,15,7
48,10,12,13,6,14
49,10,14,10,6,11
50,11,6,15,9,9
51,9,12,6,8,11
52,7,14,6,9,6
53,14,14,14,14,14
54,14,6,15,14,7
55,11,7,14,6,14
56,15,8,6,12,12
57,15,8,13,12,14
58,15,14,6,11,10
59,9,12,9,10,6
60,15,8,8,9,8
61,9,13,7,10,9
62,8,12,11,8,11
63,8,11,7,12,12
64,14,9,14,10,14
65,6,9,10,15,10
66,12,6,9,8,6
67,10,8,10,9,15
68,15,9,11,7,12
69,10,9,6,6,10
70,6,13,13,12,13
71,10,12,14,9,15
72,13,13,12,14,10
73,14,10,13,14,15
74,7,10,10,8,13
75,10,10,11,12,14
76,11,8,6,14,9
77,15,10,10,10,7
78,12,7,9,15,10
79,12,6,10,10,13
80,6,10,8,11,15
81,6,11,8,8,14
82,10,15,10,13,13
83,9,9,9,6,14
84,9,8,6,8,7
85,7,12,6,9,15
86,11,14,10,8,12
87,10,9,9,9,10
88,6,11,14,11,6
89,13,11,8,14,13
90,13,15,10,8,11
91,12,8,7,15,6
92,15,15,8,6,15
93,7,12,11,7,13
94,14,14,12,6,8
95,12,8,7,7,7
96,10,6,13,14,8
97,14,6,12,14,14
98,13,14,9,6,15
99,12,10,11,8,12
