統計年度,按照別,區域別,生母年齡,出生身分,嬰兒出生數
112,按發生日期分,新北市板橋區,未滿15歲,婚生,0
112,按發生日期分,新北市板橋區,未滿15歲,遺腹子,0
112,按發生日期分,新北市板橋區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市板橋區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市板橋區,未滿15歲,無依兒童,0
112,按發生日期分,新北市板橋區,15～19歲,婚生,10
112,按發生日期分,新北市板橋區,15～19歲,遺腹子,0
112,按發生日期分,新北市板橋區,15～19歲,非婚生已認領,0
112,按發生日期分,新北市板橋區,15～19歲,非婚生未認領,2
112,按發生日期分,新北市板橋區,15～19歲,無依兒童,0
112,按發生日期分,新北市板橋區,20～24歲,婚生,88
112,按發生日期分,新北市板橋區,20～24歲,遺腹子,0
112,按發生日期分,新北市板橋區,20～24歲,非婚生已認領,5
112,按發生日期分,新北市板橋區,20～24歲,非婚生未認領,9
112,按發生日期分,新北市板橋區,20～24歲,無依兒童,0
112,按發生日期分,新北市板橋區,25～29歲,婚生,412
112,按發生日期分,新北市板橋區,25～29歲,遺腹子,0
112,按發生日期分,新北市板橋區,25～29歲,非婚生已認領,4
112,按發生日期分,新北市板橋區,25～29歲,非婚生未認領,7
112,按發生日期分,新北市板橋區,25～29歲,無依兒童,0
112,按發生日期分,新北市板橋區,30～34歲,婚生,937
112,按發生日期分,新北市板橋區,30～34歲,遺腹子,0
112,按發生日期分,新北市板橋區,30～34歲,非婚生已認領,12
112,按發生日期分,新北市板橋區,30～34歲,非婚生未認領,9
112,按發生日期分,新北市板橋區,30～34歲,無依兒童,0
112,按發生日期分,新北市板橋區,35～39歲,婚生,685
112,按發生日期分,新北市板橋區,35～39歲,遺腹子,0
112,按發生日期分,新北市板橋區,35～39歲,非婚生已認領,7
112,按發生日期分,新北市板橋區,35～39歲,非婚生未認領,7
112,按發生日期分,新北市板橋區,35～39歲,無依兒童,0
112,按發生日期分,新北市板橋區,40～44歲,婚生,202
112,按發生日期分,新北市板橋區,40～44歲,遺腹子,0
112,按發生日期分,新北市板橋區,40～44歲,非婚生已認領,6
112,按發生日期分,新北市板橋區,40～44歲,非婚生未認領,5
112,按發生日期分,新北市板橋區,40～44歲,無依兒童,0
112,按發生日期分,新北市板橋區,45～49歲,婚生,9
112,按發生日期分,新北市板橋區,45～49歲,遺腹子,0
112,按發生日期分,新北市板橋區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市板橋區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市板橋區,45～49歲,無依兒童,0
112,按發生日期分,新北市板橋區,50歲以上,婚生,2
112,按發生日期分,新北市板橋區,50歲以上,遺腹子,0
112,按發生日期分,新北市板橋區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市板橋區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市板橋區,50歲以上,無依兒童,0
112,按發生日期分,新北市三重區,未滿15歲,婚生,0
112,按發生日期分,新北市三重區,未滿15歲,遺腹子,0
112,按發生日期分,新北市三重區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市三重區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市三重區,未滿15歲,無依兒童,0
112,按發生日期分,新北市三重區,15～19歲,婚生,7
112,按發生日期分,新北市三重區,15～19歲,遺腹子,0
112,按發生日期分,新北市三重區,15～19歲,非婚生已認領,0
112,按發生日期分,新北市三重區,15～19歲,非婚生未認領,8
112,按發生日期分,新北市三重區,15～19歲,無依兒童,0
112,按發生日期分,新北市三重區,20～24歲,婚生,88
112,按發生日期分,新北市三重區,20～24歲,遺腹子,0
112,按發生日期分,新北市三重區,20～24歲,非婚生已認領,2
112,按發生日期分,新北市三重區,20～24歲,非婚生未認領,8
112,按發生日期分,新北市三重區,20～24歲,無依兒童,0
112,按發生日期分,新北市三重區,25～29歲,婚生,322
112,按發生日期分,新北市三重區,25～29歲,遺腹子,0
112,按發生日期分,新北市三重區,25～29歲,非婚生已認領,8
112,按發生日期分,新北市三重區,25～29歲,非婚生未認領,8
112,按發生日期分,新北市三重區,25～29歲,無依兒童,0
112,按發生日期分,新北市三重區,30～34歲,婚生,590
112,按發生日期分,新北市三重區,30～34歲,遺腹子,0
